"location","beta.locationRabida","se.locationRabida","W.locationRabida","p_val.locationRabida","q_val.locationRabida","diff_abn.locationRabida"
" Clostridia_UCG-014",-2.66192143416261,0.36485366080482,-7.2958605603429,2.9675612277877e-13,1.83988796122837e-11,TRUE
" Fonticella",1.45634533640188,0.318827204597395,4.5678201715594,4.92822552418204e-06,0.000300621756975104,TRUE
" Clostridium_sensu_stricto_13",0.631976801101455,0.164532733084773,3.84103995145962,0.000122514170878624,0.00735085025271744,TRUE
" Sarcina",1.94311664609574,0.566073904807034,3.432620068855,0.000597779129439038,0.0352689686369033,TRUE
