"Island","beta.islandRabida","se.islandRabida","W.islandRabida","p_val.islandRabida","q_val.islandRabida","diff_abn.islandRabida"
" UCG-004",-1.21760383272986,0.350875811771779,-3.47018458348971,0.000520100807577729,0.0338065524925524,TRUE
" Clostridia_UCG-014",-2.28480520416425,0.3401274786773,-6.71749666639543,1.84872994414328e-11,1.23864906257599e-09,TRUE
" Fonticella",1.94542799253133,0.288275574148302,6.74850097265097,1.49380399288351e-11,1.01578671516079e-09,TRUE
" Clostridium_sensu_stricto_13",0.582012885953704,0.153275981547059,3.79715647604588,0.000146365404327096,0.00966011668558836,TRUE
