"island","Island","beta.islandRabida","se.islandRabida","W.islandRabida","p_val.islandRabida","q_val.islandRabida","diff_abn.islandRabida"
"1","Beta_Lactam",2.26383629819306,1.081308343346,2.09360846249261,0.0362948730990178,0.399243604089196,FALSE
"2","MDR",1.84237079763826,0.845573146845651,2.17884260458257,0.0293433627417871,0.352120352901445,FALSE
"3","Tetracycline",1.78748147981921,0.712919765472224,2.50726879291278,0.0121668150160731,0.15816859520895,FALSE
"4","Insertional sequence",1.74229923780011,0.838601532395744,2.0776246769102,0.0377439415099711,0.399243604089196,FALSE
