feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroidota	location	Rabida	-0.627525933441431	0.180665116284062	68	68	0.00686638653875152	0.0411983192325091
Bacteroidota	location	Cabo Douglas	-0.257157766492843	0.117491845308046	68	68	0.0567112777426179	0.170133833227854
Proteobacteria	location	Cabo Douglas	-0.179263916622243	0.112675352909573	68	68	0.129013337713478	0.258026675426955
Firmicutes	location	Rabida	0.00735893864581207	0.0065621061686959	68	68	0.286015902900926	0.346920049766158
Proteobacteria	location	Rabida	-0.191272917980084	0.174113116903567	68	68	0.289100041471798	0.346920049766158
Firmicutes	location	Cabo Douglas	-0.000294526100598271	0.00426562987527008	68	68	0.946110936044571	0.946110936044571
