"","Pathway","Cabo Douglas","Punta Espinoza","Rabida"
"166","PWY-6386",1,1,1
"167","PWY-6387",1,1,1
"168","PWY-6507",1,1,1
"169","PWY-6519",0,1,0
"170","PWY-6527",1,1,1
"171","PWY-6531",1,1,1
"172","PWY-6545",1,1,0
"173","PWY-6549",1,1,1
"174","PWY-6554",1,0,1
"175","PWY-6562",1,1,1
"176","PWY-6565",1,1,1
"177","PWY-6588",1,1,1
"178","PWY-6590",1,1,1
"179","PWY-6606",1,1,1
"180","PWY-6608",1,1,1
"181","PWY-6609",1,1,1
"182","PWY-6612",1,1,1
"183","PWY-6628",1,1,1
"184","PWY-6630",1,1,1
"185","PWY-6700",1,1,1
"186","PWY-6703",1,1,1
"187","PWY-6731",1,1,1
"188","PWY-6803",1,1,0
"189","PWY-6823",1,1,1
"190","PWY-6859",1,1,1
"191","PWY-6876",1,1,1
"192","PWY-6895",1,1,1
"193","PWY-6897",1,1,1
"194","PWY-6901",1,1,1
"195","PWY-6902",0,1,1
"196","PWY-6920",0,0,1
"197","PWY-6922",0,1,0
"198","PWY-6936",1,1,1
"199","PWY-6953",0,1,0
"200","PWY-6969",1,1,1
"201","PWY-6992",1,1,0
"202","PWY-7013",1,1,1
"203","PWY-702",1,1,1
"204","PWY-7052",0,1,0
"205","PWY-7111",1,1,1
"206","PWY-7115",1,1,1
"207","PWY-7117",1,1,1
"208","PWY-7118",1,1,1
"209","PWY-7159",0,0,1
"210","PWY-7184",1,1,0
"211","PWY-7197",1,1,1
"212","PWY-7198",1,1,1
"213","PWY-7199",1,1,1
"214","PWY-7200",1,0,1
"215","PWY-7204",1,1,1
"216","PWY-7208",1,1,1
"217","PWY-7210",1,0,0
"218","PWY-7211",0,1,0
"219","PWY-7220",1,1,1
"220","PWY-7221",1,1,1
"221","PWY-7222",1,1,1
"222","PWY-7228",1,1,1
"223","PWY-7229",1,1,1
"224","PWY-7234",1,1,1
"225","PWY-7238",1,1,1
"226","PWY-724",1,1,1
"227","PWY-7242",1,1,1
"228","PWY-7254",0,1,0
"229","PWY-7269",0,1,0
"230","PWY-7279",1,0,0
"231","PWY-7282",1,1,1
"232","PWY-7315",1,1,0
"233","PWY-7323",1,1,1
"234","PWY-7328",1,1,1
"235","PWY-7345",1,1,0
"236","PWY-7347",0,1,1
"237","PWY-7356",1,1,1
"238","PWY-7357",1,1,1
"239","PWY-7371",0,1,0
"240","PWY-7383",1,1,1
"241","PWY-7385",1,1,0
"242","PWY-7392",0,1,0
"243","PWY-7400",1,1,1
"244","PWY-7431",0,0,1
"245","PWY-7511",1,1,1
"246","PWY-7560",1,1,1
"247","PWY-7663",1,1,1
"248","PWY-7664",1,1,0
"249","PWY-7688",1,1,1
"250","PWY-7731",1,1,1
"251","PWY-7761",1,1,1
"252","PWY-7783",0,1,0
"253","PWY-7790",1,1,1
"254","PWY-7791",1,1,1
"255","PWY-7851",1,1,1
"256","PWY-7858",1,1,1
"257","PWY-7953",1,1,1
"258","PWY-7977",1,1,1
"259","PWY-8004",0,1,1
"260","PWY-8073",1,1,1
"261","PWY-8131",1,1,1
"262","PWY-8178",1,1,1
"263","PWY-8187",1,1,1
"264","PWY-821",1,1,1
"265","PWY-841",1,1,1
"266","PWY-I9",1,1,1
"267","PWY0-1061",1,1,1
"268","PWY0-1241",1,1,0
"269","PWY0-1261",1,0,0
"270","PWY0-1296",1,1,1
"271","PWY0-1297",1,1,1
"272","PWY0-1298",1,1,1
"273","PWY0-1319",1,1,1
"274","PWY0-1338",1,0,0
"275","PWY0-1415",0,1,1
"276","PWY0-1477",1,1,1
"277","PWY0-1479",1,1,0
"278","PWY0-1586",1,1,1
"279","PWY0-162",1,1,1
"280","PWY0-166",0,1,0
"281","PWY0-301",1,0,0
"282","PWY0-845",1,1,0
"283","PWY0-862",1,1,1
"284","PWY1ZNC-1",1,1,1
"285","PWY3O-4107",1,1,1
"286","PWY490-3",1,0,0
